"row_ID","SiteSubsitePlotYear","SiteSubsitePlot","SiteSubsite","SITE","SUBSITE","PLOT","YEAR","YEAR_earliest","YEAR_latest","Repeats","ValueType","Method","SurveyedArea","LAT","LONG","lat_grid","lon_grid","gridcell","Region","FRic","FEve","SR","FDis","qual.FRic","AlpArc","AZONE","ELEV","MOISTURE","TempSeas","TempMaxSum","TempMinWin","TempAvSum","TempAvWin","PrecipAnn","PrecipSeas","SnowAnn","permafrost","ShrubCover","GraminoidCover","ForbCover","PlotDominatingFG","Duration"
30,"ABISKO:ABISKOWET_FLUX:5_CTL:2010","ABISKO:ABISKOWET_FLUX:5_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","5_CTL",2010,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",16.2096453528276,0.728237536604882,8,2.26743540401161,0.923657013394991,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",70.9677419354839,24.7311827956989,4.3010752688172,"Shrub-Dominated",6
31,"ABISKO:ABISKOWET_FLUX:5_CTL:2012","ABISKO:ABISKOWET_FLUX:5_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","5_CTL",2012,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",10.7501541970574,0.796121918294471,7,2.37216059120277,0.926153429568651,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",71.900826446281,20.6611570247934,7.43801652892562,"Shrub-Dominated",6
32,"ABISKO:ABISKOWET_FLUX:6_CTL:2006","ABISKO:ABISKOWET_FLUX:6_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","6_CTL",2006,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",27.792413012587,0.436409828526043,11,2.2444306907422,0.82905371931045,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",77.9874213836478,18.8679245283019,3.14465408805031,"Shrub-Dominated",6
33,"ABISKO:ABISKOWET_FLUX:6_CTL:2007","ABISKO:ABISKOWET_FLUX:6_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","6_CTL",2007,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",22.2261694474975,0.463763781472537,10,2.17797337615416,0.833953412081827,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",76.0504201680673,20.1680672268908,3.78151260504202,"Shrub-Dominated",6
34,"ABISKO:ABISKOWET_FLUX:6_CTL:2010","ABISKO:ABISKOWET_FLUX:6_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","6_CTL",2010,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",19.4386697499899,0.416413881130084,9,2.10772046557026,0.866765811995304,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",80.1724137931035,16.3793103448276,3.44827586206897,"Shrub-Dominated",6
35,"ABISKO:ABISKOWET_FLUX:6_CTL:2012","ABISKO:ABISKOWET_FLUX:6_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","6_CTL",2012,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",26.7427740096996,0.56687844447322,12,2.13121054213174,0.813992132659487,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",76.4227642276422,15.4471544715447,8.13008130081301,"Shrub-Dominated",6
36,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1:1999","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl1",1999,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",24.6880893540997,0.776627593185843,12,2.24828473810996,0.791355096032797,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",52.1739130434782,41.7391304347826,6.08695652173913,"Shrub-Dominated",9
37,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1:2005","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl1",2005,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",27.4431180538289,0.502222436938263,12,2.30499778013197,0.758365982226038,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",47.2222222222222,43.5185185185185,9.25925925925926,"None",9
38,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1:2007","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl1",2007,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",27.4431180538289,0.410296627325775,12,2.17386251568905,0.758365982226038,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",42.7184466019417,49.5145631067961,7.76699029126214,"None",9
39,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1:2008","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl1",2008,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",23.0888199988939,0.803882397547599,11,2.24048859555984,0.792329938985368,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",45.8823529411765,45.8823529411765,8.23529411764706,"None",9
40,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2:1999","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl2",1999,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",24.6031554791969,0.745069703457894,11,2.23952209131182,0.812031395875,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",39.4495412844037,51.3761467889908,9.1743119266055,"Graminoid-Dominated",9
41,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2:2005","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl2",2005,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",27.3555167699614,0.746921242506295,11,2.62544201156688,0.778075245952631,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",50.9090909090909,41.8181818181818,7.27272727272727,"Shrub-Dominated",9
42,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2:2007","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl2",2007,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",25.908781620646,0.516848915676229,11,2.43553565606867,0.844221322738998,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",48.936170212766,38.2978723404255,12.7659574468085,"None",9
43,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2:2008","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl2",2008,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",16.6511846594961,0.536074933384599,9,2.44742352109837,0.860048017156784,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",46.1538461538462,40.6593406593407,13.1868131868132,"None",9
44,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3:1999","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl3",1999,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",27.551301637762,0.64706904548367,10,2.74112082331619,0.826490069887059,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",65.1851851851852,31.1111111111111,3.7037037037037,"Shrub-Dominated",9
45,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3:2005","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl3",2005,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",24.822669917433,0.865623936070574,9,2.60548710130649,0.831696551491025,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",70.0787401574803,27.5590551181102,2.36220472440945,"Shrub-Dominated",9
46,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3:2007","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl3",2007,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",24.822669917433,0.835319645383537,9,2.65409717195499,0.831696551491024,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",65.1685393258427,28.0898876404494,6.74157303370786,"Shrub-Dominated",9
47,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3:2008","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl3",2008,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",23.9274024750094,0.726276767901008,9,2.53995205017671,0.858426129100085,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",77.7777777777778,19.4444444444444,2.77777777777778,"Shrub-Dominated",9
