"row_ID","SiteSubsitePlotYear","SiteSubsitePlot","SiteSubsite","SITE","SUBSITE","PLOT","YEAR","YEAR_earliest","YEAR_latest","Repeats","ValueType","Method","SurveyedArea","LAT","LONG","lat_grid","lon_grid","gridcell","Region","FRic","FEve","FDis","SR","qual.FRic","AlpArc","AZONE","ELEV","MOISTURE","TempSeas","TempMaxSum","TempMinWin","TempAvSum","TempAvWin","PrecipAnn","PrecipSeas","SnowAnn","permafrost","EShrubCover","DShrubCover","GraminoidCover","ForbCover","PlotDominatingFG"
12,"ABISKO:ABISKODRY_PADDUS:CTL_6:2014","ABISKO:ABISKODRY_PADDUS:CTL_6","ABISKO:ABISKODRY_PADDUS","ABISKO","ABISKODRY_PADDUS","CTL_6",2014,2008,2014,2,"pf_all_plot","Point-framing (sum)",0.25,68.1933,18.5115,68,18.5,"68_18.5","Eurasia",19.0568785773233,0.487015774582026,1.6337588106284,11,0.919228822586938,"Arctic","LOW",544,"MOIST",8562,14.2,-16.2,9.9,-13,499,30,342,"none",82.2916666666667,12.5,3.125,2.08333333333333,"Evergreen_Shrub-Dominated"
13,"ABISKO:ABISKOWET_FLUX:1_CTL:2007","ABISKO:ABISKOWET_FLUX:1_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","1_CTL",2007,2007,2012,3,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",24.6699018891711,0.721235461331282,2.59663045508059,12,0.758664446121845,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",27.6073619631902,20.8588957055215,41.1042944785276,10.4294478527607,"None"
14,"ABISKO:ABISKOWET_FLUX:1_CTL:2010","ABISKO:ABISKOWET_FLUX:1_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","1_CTL",2010,2007,2012,3,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",20.4463867996091,0.70541914032293,2.81996755601793,9,0.78221195190021,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",26.027397260274,23.2876712328767,45.2054794520548,5.47945205479452,"None"
15,"ABISKO:ABISKOWET_FLUX:1_CTL:2012","ABISKO:ABISKOWET_FLUX:1_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","1_CTL",2012,2007,2012,3,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",20.4463867996091,0.780021617999549,2.59973552507265,9,0.78221195190021,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",21.7391304347826,37.6811594202899,36.231884057971,4.34782608695652,"None"
16,"ABISKO:ABISKOWET_FLUX:2_CTL:2006","ABISKO:ABISKOWET_FLUX:2_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","2_CTL",2006,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",19.5218429014844,0.698854249358529,2.56293989963297,9,0.887905244699465,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",34.2342342342342,16.2162162162162,45.045045045045,4.5045045045045,"None"
17,"ABISKO:ABISKOWET_FLUX:2_CTL:2007","ABISKO:ABISKOWET_FLUX:2_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","2_CTL",2007,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",27.0606111505746,0.540135889400442,2.56332102943136,11,0.796742455325965,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",24.3421052631579,15.1315789473684,55.2631578947368,5.26315789473684,"Graminoid-Dominated"
18,"ABISKO:ABISKOWET_FLUX:2_CTL:2010","ABISKO:ABISKOWET_FLUX:2_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","2_CTL",2010,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",18.2178253462852,0.733742473485243,2.24697276383714,8,0.88796875825802,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",17.3913043478261,16.304347826087,63.0434782608696,3.26086956521739,"Graminoid-Dominated"
19,"ABISKO:ABISKOWET_FLUX:2_CTL:2012","ABISKO:ABISKOWET_FLUX:2_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","2_CTL",2012,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",20.4186121144681,0.78145902031822,2.15324458678647,9,0.891316893018268,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",23.1707317073171,18.2926829268293,56.0975609756098,2.4390243902439,"Graminoid-Dominated"
20,"ABISKO:ABISKOWET_FLUX:3_CTL:2006","ABISKO:ABISKOWET_FLUX:3_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","3_CTL",2006,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",18.2341572900203,0.756884490105867,2.48317262528514,7,0.908292780571582,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",47.3214285714286,10.7142857142857,33.9285714285714,8.03571428571428,"None"
21,"ABISKO:ABISKOWET_FLUX:3_CTL:2007","ABISKO:ABISKOWET_FLUX:3_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","3_CTL",2007,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",13.2140060426434,0.688926323406983,2.96084902614988,6,0.918249225702183,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",42.0289855072464,7.97101449275362,46.3768115942029,3.6231884057971,"None"
22,"ABISKO:ABISKOWET_FLUX:3_CTL:2010","ABISKO:ABISKOWET_FLUX:3_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","3_CTL",2010,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",11.4875286770462,0.667754193060747,2.38330612531729,7,0.910396924846336,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",52.5641025641026,10.2564102564103,33.3333333333333,3.84615384615385,"Evergreen_Shrub-Dominated"
23,"ABISKO:ABISKOWET_FLUX:3_CTL:2012","ABISKO:ABISKOWET_FLUX:3_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","3_CTL",2012,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",23.3546119850524,0.534713066285121,2.04489961684735,10,0.826808083328892,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",58.6206896551724,21.8390804597701,16.0919540229885,3.44827586206897,"Evergreen_Shrub-Dominated"
24,"ABISKO:ABISKOWET_FLUX:4_CTL:2006","ABISKO:ABISKOWET_FLUX:4_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","4_CTL",2006,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",24.038139143898,0.507402683355774,2.3223346314974,12,0.808268707032894,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",61.4525139664804,17.3184357541899,17.3184357541899,3.91061452513966,"Evergreen_Shrub-Dominated"
25,"ABISKO:ABISKOWET_FLUX:4_CTL:2007","ABISKO:ABISKOWET_FLUX:4_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","4_CTL",2007,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",17.1783720852376,0.712939684228769,2.4272552895877,9,0.837331894726795,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",48.7704918032787,12.2950819672131,33.6065573770492,5.32786885245902,"None"
26,"ABISKO:ABISKOWET_FLUX:4_CTL:2010","ABISKO:ABISKOWET_FLUX:4_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","4_CTL",2010,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",20.1289981299288,0.609034639027976,2.41514317223026,10,0.825899463178587,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",56.5573770491803,19.672131147541,18.0327868852459,5.73770491803279,"Evergreen_Shrub-Dominated"
27,"ABISKO:ABISKOWET_FLUX:4_CTL:2012","ABISKO:ABISKOWET_FLUX:4_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","4_CTL",2012,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",18.5175885345813,0.365752085845582,1.85758942839181,10,0.814285423712624,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",55.7251908396947,30.5343511450382,10.6870229007634,3.05343511450382,"Evergreen_Shrub-Dominated"
28,"ABISKO:ABISKOWET_FLUX:5_CTL:2006","ABISKO:ABISKOWET_FLUX:5_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","5_CTL",2006,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",18.4980116450239,0.576727858853796,2.16443732042042,9,0.933992988824166,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",62.5850340136054,14.9659863945578,20.4081632653061,2.04081632653061,"Evergreen_Shrub-Dominated"
29,"ABISKO:ABISKOWET_FLUX:5_CTL:2007","ABISKO:ABISKOWET_FLUX:5_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","5_CTL",2007,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",14.1565144208435,0.688779668803189,2.42153441764623,8,0.905537915552281,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",48.2517482517483,11.1888111888112,34.965034965035,5.59440559440559,"None"
30,"ABISKO:ABISKOWET_FLUX:5_CTL:2010","ABISKO:ABISKOWET_FLUX:5_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","5_CTL",2010,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",16.2096453528276,0.728237536604882,2.26743540401161,8,0.923657013394991,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",60.2150537634409,10.752688172043,24.7311827956989,4.3010752688172,"Evergreen_Shrub-Dominated"
31,"ABISKO:ABISKOWET_FLUX:5_CTL:2012","ABISKO:ABISKOWET_FLUX:5_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","5_CTL",2012,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",10.7501541970574,0.796121918294471,2.37216059120277,7,0.926153429568651,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",57.8512396694215,14.0495867768595,20.6611570247934,7.43801652892562,"Evergreen_Shrub-Dominated"
32,"ABISKO:ABISKOWET_FLUX:6_CTL:2006","ABISKO:ABISKOWET_FLUX:6_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","6_CTL",2006,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",27.792413012587,0.436409828526043,2.2444306907422,11,0.82905371931045,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",44.6540880503145,33.3333333333333,18.8679245283019,3.14465408805031,"None"
33,"ABISKO:ABISKOWET_FLUX:6_CTL:2007","ABISKO:ABISKOWET_FLUX:6_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","6_CTL",2007,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",22.2261694474975,0.463763781472537,2.17797337615416,10,0.833953412081827,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",42.8571428571429,33.1932773109244,20.1680672268908,3.78151260504202,"None"
34,"ABISKO:ABISKOWET_FLUX:6_CTL:2010","ABISKO:ABISKOWET_FLUX:6_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","6_CTL",2010,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",19.4386697499899,0.416413881130084,2.10772046557026,9,0.866765811995304,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",43.1034482758621,37.0689655172414,16.3793103448276,3.44827586206897,"None"
35,"ABISKO:ABISKOWET_FLUX:6_CTL:2012","ABISKO:ABISKOWET_FLUX:6_CTL","ABISKO:ABISKOWET_FLUX","ABISKO","ABISKOWET_FLUX","6_CTL",2012,2006,2012,4,"pf_all_plot","Point-framing (sum)",0.0484,68.20462,18.49582,68,18,"68_18","Eurasia",26.7427740096996,0.56687844447322,2.13121054213174,12,0.813992132659487,"Arctic","LOW",400,NA,8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",43.9024390243902,32.520325203252,15.4471544715447,8.13008130081301,"None"
36,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1:1999","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl1",1999,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",24.6880893540997,0.776627593185843,2.24828473810996,12,0.791355096032797,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",27.8260869565217,24.3478260869565,41.7391304347826,6.08695652173913,"None"
37,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1:2005","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl1",2005,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",27.4431180538289,0.502222436938263,2.30499778013197,12,0.758365982226038,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",28.7037037037037,18.5185185185185,43.5185185185185,9.25925925925926,"None"
38,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1:2007","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl1",2007,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",27.4431180538289,0.410296627325775,2.17386251568905,12,0.758365982226038,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",26.2135922330097,16.504854368932,49.5145631067961,7.76699029126214,"None"
39,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1:2008","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl1",2008,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",23.0888199988939,0.803882397547599,2.24048859555984,11,0.792329938985368,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",24.7058823529412,21.1764705882353,45.8823529411765,8.23529411764706,"None"
40,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2:1999","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl2",1999,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",24.6031554791969,0.745069703457894,2.23952209131182,11,0.812031395875,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",15.5963302752294,23.8532110091743,51.3761467889908,9.1743119266055,"Graminoid-Dominated"
41,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2:2005","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl2",2005,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",27.3555167699614,0.746921242506295,2.62544201156688,11,0.778075245952631,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",20.9090909090909,30,41.8181818181818,7.27272727272727,"None"
42,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2:2007","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl2",2007,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",25.908781620646,0.516848915676229,2.43553565606867,11,0.844221322738998,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",24.468085106383,24.468085106383,38.2978723404255,12.7659574468085,"None"
43,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2:2008","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl2",2008,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",16.6511846594961,0.536074933384599,2.44742352109837,9,0.860048017156784,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",23.0769230769231,23.0769230769231,40.6593406593407,13.1868131868132,"None"
44,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3:1999","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl3",1999,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",27.551301637762,0.64706904548367,2.74112082331619,10,0.826490069887059,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",37.7777777777778,27.4074074074074,31.1111111111111,3.7037037037037,"None"
45,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3:2005","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl3",2005,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",24.822669917433,0.865623936070574,2.60548710130649,9,0.831696551491025,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",37.007874015748,33.0708661417323,27.5590551181102,2.36220472440945,"None"
46,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3:2007","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl3",2007,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",24.822669917433,0.835319645383537,2.65409717195499,9,0.831696551491024,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",35.9550561797753,29.2134831460674,28.0898876404494,6.74157303370786,"None"
47,"ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3:2008","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3","ABISKO:ABISKOWET_MULTE","ABISKO","ABISKOWET_MULTE","Abisko_wetheathControl3",2008,1999,2008,4,"pf_all_plot","Point-framing (sum)",0.25,68.20462,18.49582,68,18,"68_18","Eurasia",23.9274024750094,0.726276767901008,2.53995205017671,9,0.858426129100085,"Arctic","LOW",420,"WET",8522,13.2,-17.1,8.9,-13.9,635,30,438,"none",39.8148148148148,37.962962962963,19.4444444444444,2.77777777777778,"None"
