"","LONG","LAT","TempSeas","TempMaxSum","TempMinWin","TempAvSum","TempAvWin","PrecipAnn","PrecipSeas","SnowAnn"
"69",-23.97807302,71.58566298,8937,4.8,-23.6,2,-21.1,248,27,194
"70",-24.05517697,71.39768296,8554,3.7,-23.6,0.9,-21.1,325,27,254
"71",-24.34597897,71.49365399,8954,6.3,-22.2,3.5,-19.7,373,27,292
"72",-24.225714,71.05257704,8226,6.4,-19.8,3.7,-17.4,377,26,297
"73",20.8199,69.068,8627,13.9,-16.6,9.7,-13.6,506,32,323
"74",-138.2666667,61.21666667,8643,9.1,-21.6,4.5,-18.4,396,54,193
"75",18.49531,68.35572,8467,12.7,-17.4,8.5,-14.1,709,29,517
"76",18.49756,68.35683,8467,12.7,-17.4,8.5,-14.1,709,29,517
"77",18.49,68.35,8462,12.7,-17.4,8.5,-14.1,673,29,489
"78",18.65,68.35,8521,12.8,-17.5,8.6,-14.2,686,29,491
"79",18.4913635,68.3551536,8462,12.7,-17.4,8.5,-14.1,673,29,489
"80",12.34458,62.10253,7333,15.2,-12.2,10.4,-9.3,786,32,502
"81",12.27236,62.11508,7354,16,-11.4,11.2,-8.5,607,36,376
"82",-18.10823,65.93894,4690,11.9,-5.5,9.5,-2.8,535,31,421
"83",-18.21928,65.73728,4808,12.1,-5.8,9.6,-3,501,31,388
"84",-18.27375,65.77726,4804,11.7,-6.1,9.3,-3.3,541,32,425
"85",-18.28029,65.76853,4806,11.5,-6.4,9,-3.6,549,32,431
"86",23.845139,68.834417,8732,15.7,-15.2,11.2,-12.5,396,53,211
"87",23.80475,68.837306,8733,15.8,-15.2,11.3,-12.4,378,56,197
"88",23.821889,68.835083,8736,15.8,-15.2,11.4,-12.4,368,55,193
"89",-45.4,61.16,7233,10.3,-14.9,6.8,-12,710,24,522
"90",-51.3831,64.1361,6983,10.3,-14.6,7.2,-11.5,640,23,438
"91",-18.69754,65.46684,4906,8.5,-10,5.8,-7.1,524,24,392
"92",-18.69386,65.46596,4916,9.8,-8.7,7.1,-5.8,452,25,337
"93",-18.90435,65.48131,4988,9.5,-9.3,6.8,-6.3,537,20,390
"94",16.19464,78.64935,7586,5.6,-18,4.2,-15.4,230,27,179
"95",-138.86347,69.57488,12451,10.3,-26.6,7.6,-24.2,164,76,64
"96",-138.86774,69.57646,12453,10.3,-26.6,7.6,-24.2,164,76,64
"97",-76.48755,81.39631,14022,5.1,-36.7,2.6,-34.3,45,69,23
"98",17.53611,67.77306,8103,13.9,-14.9,9.7,-12,650,26,454
"99",15.934,78.19,7316,6,-17.2,4.6,-14.4,264,21,193
"100",15.93,78.19,7315,6,-17.2,4.6,-14.4,268,20,197
"101",15.934124,78.1899916,7316,6,-17.2,4.6,-14.4,264,21,193
"102",16.04,78.1,7149,3.1,-19.6,1.7,-16.8,295,22,206
"103",-21.06941,64.28083,4511,13.1,-3.7,10.7,-1.1,1257,16,975
"104",-18.6,64.57,4223,8.4,-7.6,6,-4.9,952,18,708
"105",-20.16786,63.5641,3675,12.8,-0.2,11.3,1.7,1332,17,1027
"106",-21.15821,63.98622,4040,12.7,-1.8,10.9,0.3,1551,13,1170
"107",-21.16772,63.97085,4011,13.1,-1.2,11.4,0.9,1344,13,1013
"108",-149.61,68.62,14073,15.1,-29.8,10.3,-26.7,249,83,105
"109",-149.28,68.62,13939,14.2,-30.3,9.4,-27.2,277,91,110
"110",-135.13,61.56,10332,19.7,-16.9,14.5,-13.5,265,51,141
"111",-20.52895,74.47427,9780,6.3,-23.4,4.1,-20.8,182,34,141
"112",-20.54284746,74.47510333,9802,6.1,-23.7,3.9,-21,177,33,138
"113",-20.54053855,74.47508063,9788,6.1,-23.6,3.9,-21,178,34,139
